43.43, 2, red, Exit
43.43, 3, red, Entry
43.47, 3, red, Exit
43.47, 1, red, Entry
43.53, 1, red, Exit
43.53, 3, red, Entry
43.67, 3, red, Exit
43.67, 2, red, Entry
43.70, 2, red, Exit
43.70, 1, red, Entry
43.77, 1, red, Exit
43.77, 3, red, Entry
43.83, 3, red, Exit
43.83, 1, red, Entry
43.93, 1, red, Exit
43.93, 3, red, Entry
43.97, 3, red, Exit
43.97, 1, red, Entry
44.00, 1, red, Exit
44.00, 4, red, Entry
44.03, 4, red, Exit
44.03, 3, red, Entry
44.17, 3, red, Exit
44.17, 4, red, Entry
44.27, 4, red, Exit
44.27, 1, red, Entry
44.30, 1, red, Exit
44.30, 3, red, Entry
44.37, 3, red, Exit
44.37, 1, red, Entry
44.43, 1, red, Exit
44.43, 3, red, Entry
44.50, 3, red, Exit
44.50, 1, red, Entry
44.60, 1, red, Exit
44.60, 3, red, Entry
44.63, 3, red, Exit
44.63, 4, red, Entry
44.67, 4, red, Exit
44.67, 1, red, Entry
44.70, 1, red, Exit
44.70, 4, red, Entry
44.73, 4, red, Exit
44.73, 3, red, Entry
44.77, 3, red, Exit
44.77, 1, red, Entry
44.83, 1, red, Exit
44.83, 4, red, Entry
45.00, 4, red, Exit
45.00, 1, red, Entry
45.07, 1, red, Exit
45.07, 4, red, Entry
45.10, 4, red, Exit
45.10, 1, red, Entry
45.13, 1, red, Exit
45.13, 4, red, Entry
45.30, 4, red, Exit
45.30, 1, red, Entry
45.33, 1, red, Exit
45.33, 3, red, Entry
45.33, 2, blue, Exit
45.33, 4, blue, Entry
45.37, 3, red, Exit
45.37, 1, red, Entry
45.40, 4, blue, Exit
45.40, 2, blue, Entry
45.43, 1, red, Exit
45.43, 4, red, Entry
45.57, 4, red, Exit
45.57, 3, red, Entry
45.60, 3, red, Exit
45.60, 1, red, Entry
45.63, 1, red, Exit
45.63, 2, red, Entry
45.67, 2, red, Exit
45.67, 4, red, Entry
45.73, 4, red, Exit
45.73, 1, red, Entry
45.77, 1, red, Exit
45.77, 4, red, Entry
45.87, 4, red, Exit
45.87, 3, red, Entry
45.90, 3, red, Exit
45.90, 4, red, Entry
46.00, 4, red, Exit
46.00, 1, red, Entry
46.00, 2, blue, Exit
46.00, 4, blue, Entry
46.03, 1, red, Exit
46.03, 4, red, Entry
46.03, 4, blue, Exit
46.03, 2, blue, Entry
46.10, 4, red, Exit
46.10, 1, red, Entry
46.20, 1, red, Exit
46.20, 4, red, Entry
46.30, 4, red, Exit
46.30, 1, red, Entry
46.33, 1, red, Exit
46.33, 4, red, Entry
46.40, 4, red, Exit
46.40, 1, red, Entry
46.40, 2, blue, Exit
46.40, 4, blue, Entry
46.43, 1, red, Exit
46.43, 4, red, Entry
46.43, 4, blue, Exit
46.43, 2, blue, Entry
46.63, 4, red, Exit
46.63, 2, red, Entry
46.67, 2, red, Exit
46.67, 3, red, Entry
46.73, 3, red, Exit
46.73, 2, red, Entry
46.77, 2, red, Exit
46.77, 1, red, Entry
46.80, 1, red, Exit
46.80, 4, red, Entry
46.80, 2, blue, Exit
46.80, 4, blue, Entry
46.83, 4, red, Exit
46.83, 1, red, Entry
46.83, 4, blue, Exit
46.83, 2, blue, Entry
46.90, 1, red, Exit
46.90, 3, red, Entry
46.93, 3, red, Exit
46.93, 4, red, Entry
46.97, 4, red, Exit
46.97, 1, red, Entry
47.10, 2, blue, Exit
47.10, 4, blue, Entry
47.17, 4, blue, Exit
47.17, 2, blue, Entry
47.23, 1, red, Exit
47.23, 4, red, Entry
47.30, 2, blue, Exit
47.30, 4, blue, Entry
47.33, 4, red, Exit
47.33, 1, red, Entry
47.37, 1, red, Exit
47.37, 4, red, Entry
